nombre,descripcion o especificaciones,categoria,marca,stock,sku,alto cm,ancho cm,largo cm,peso g,pero kg,precio,precio oferta,link imagen,clase envio
XPG 8GB DDR4 3200MHZ GAMMIX D30,XPG 8GB DDR4 3200MHZ GAMMIX D30,MEMORIA RAM,ADATA,4,,10,15,2,120,"0,12",$ 900.00,830,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/M/E/ME-423710-67.jpg,
XPG 8GB DDR4 3200MHZ D41 RED,XPG 8GB DDR4 3200MHZ D41 RED,MEMORIA RAM,ADATA,2,,10,15,2,120,"0,12","$ 1,250.00","$ 1,200.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/m/e/me-423710-75_1_.jpg,
XPG 8GB DDR4 3000MHZ SPECTRIX D60G,XPG 8GB DDR4 3000MHZ SPECTRIX D60G,MEMORIA RAM,ADATA,1,,10,15,2,120,"0,12","$ 1,000.00",$ 920.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/m/e/me-423710-47.jpg,
XPG 16GB DDR4 3200MHZ GAMMIX D30,XPG 16GB DDR4 3200MHZ GAMMIX D30,MEMORIA RAM,ADATA,2,,10,15,2,120,"0,12","$ 1,650.00",1500,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/M/E/ME-423710-68.jpg,
MOUSE LOGITECH M90,MOUSE LOGITECH M90 ALAMBRICO,MOUSE,Logitech,3,,15,10,4,150,"0,15",$ 100.00,$ 90.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/A/C/AC-412500-12.jpg,
MOUSE YEYIAN LINKS 3000,MOUSE YEYIAN LINKS 3000 ALAMBRICO,MOUSE,YEYIAN,4,,20,15,5,250,"0,25",$ 565.00,$ 499.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/a/c/ac-416911-1_1_.jpg,
MOUSE CORSAIR M55 RGB PRO,MOUSE CORSAIR M55 RGB PRO,MOUSE,CORSAIR,3,,20,15,6,250,"0,25",$ 850.00,$ 799.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/A/C/AC-416073-7.jpg,
MOUSE ACTECK R100,MOUSE ACTECK INALAMBRICO,MOUSE,ACTECK,1,,20,15,8,250,"0,25",$ 140.00,$ 120.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/a/c/ac-413178-1.jpg,
MOUSE INALAMBRICO M187,MOUSE INALAMBRICO M187 LOGITECH,MOUSE,LOGITECH,2,,19,13,4,100,"0,1",$ 250.00,$ 220.00,https://www.cyberpuerta.mx/img/product/M/CP-LOGITECH-910-005365-1.jpg,
Mouse OCELOT,Mouse ocelot GAming,MOUSE,OCELOT,4,,20,15,8,250,"0,25",300,250,https://me2.grupocva.com/me/imagen/200/10152609.jpg,
YEYIAN ARMAGGEDON 2200,Gabinete Gaming YEYIAN,GABINETE,YEYIAN,3,,55,55,30,9900,"9,9","$ 1,650.00","$ 1,599.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/g/a/ga-386911-1.jpg,
SERIE 100 VORAGO 500W,GABINETE 500w,GABINETE,VORAGO,3,,42,45,22,4000,4,$ 680.00,$ 620.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/G/A/GA-40216228-1.jpg,
ACTECK KIRUNA,ACTECK KIRUNA 500W,GABINETE,ACTECK,1,,48,48,25,4500,"4,5",$ 800.00,$ 750.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/G/A/GA-383196-2.jpg,
YEYIAN STAHL 900,YEYIAN STAHL 900 SIN FUENTE,GABINETE,YEYIAN,6,,45,45,23,4500,"4,5",$ 700.00,$ 620.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/G/A/GA-386983-6_3.jpg,
OCELOT OGMC02,GABINETE OCELOT,GABINETE,OCELOT,1,,50,50,30,7000,7,"$ 1,200.00","$ 1,099.00",https://me2.grupocva.com/me/imagen/200/10152810.jpg,
ACTECK INTEGRA X RGB 5500,ACTECK 5500 500W,GABINETE,ACTECK,3,,45,40,23,3800,"3,8",$ 800.00,$ 740.00,https://me2.grupocva.com/me/imagen/200/10199732.jpg,
XZEAL XZ10,SILLA GAMER,SILLA,XZEAL,4,,65,85,33,19500,"19,5","$ 4,500.00","$ 4,090.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/V/I/VI-676514-7.jpg,
