sku,alto,inventario,id_seccion,id_linea,ancho,skuFabricante,peso_bruto,volumen,precio,upc,marca,serie,seccion,moneda,id_marca,descripcion,id_serie,peso_neto,largo,linea,image_url,precio_final,stock
766623177658-M,10.8,Array,6850,10624,2.5,177658,0.57,,3.35,766623177658,MANHATTAN,ALAMBRICO,"TECLADOS & MOUSES",USD,7061,"MOUSE ECONOMICO MANHATTAN USB NEGRO 177658",10546,0.57,5.4,MOUSE,https://drakelfo.mx/pch-importer/images/766623177658-M.jpg,93,5
766623177627-M,10.8,Array,6850,10624,2.5,177627,0.57,,3.34,766623177627,MANHATTAN,ALAMBRICO,"TECLADOS & MOUSES",USD,7061,"MOUSE ECONOMICO MANHATTAN USB BLANCO 177627",10546,0.57,5.4,MOUSE,https://drakelfo.mx/pch-importer/images/766623177627-M.jpg,93,1
766623434386-M,25,Array,6850,11521,1,434386,0.09,,4.52,766623434386,MANHATTAN,MOUSE,"TECLADOS & MOUSES",USD,7061,"MOUSEPAD TIPO GEL MANHATTAN DESCANSA MUÑECA AZUL MARINO 434386",10624,0.09,20,TAPETES,https://drakelfo.mx/pch-importer/images/766623434386-M.jpg,126,7
766623422871-M,25,Array,6850,11521,2,422871,0.1,,3.62,766623422871,MANHATTAN,MOUSE,"TECLADOS & MOUSES",USD,7061,"MOUSEPAD MANHATTAN 3 EN 1 MICROFIBRA GRIS 422871",10624,0.1,20,TAPETES,https://drakelfo.mx/pch-importer/images/766623422871-M.jpg,101,13
766623178457-M,44.3,Array,6850,11528,4.2,178457,0.86,,15.82,766623178457,MANHATTAN,GAMER,"TECLADOS & MOUSES",USD,7061,"TECLADO GAMING USB BASE METALICA LED LUCES MULTICOLOR MANHATTAN 178457",10479,0.86,14,TECLADOS,https://drakelfo.mx/pch-importer/images/766623178457-M.jpg,440,2
766623434362-M,24.1,Array,6850,11521,0.4,434362,0.87,,4.52,766623434362,MANHATTAN,MOUSE,"TECLADOS & MOUSES",USD,7061,"MOUSEPAD MANHATTAN TIPO GEL DESCANSA MUÑECA NEGRO 434362",10624,0.87,20.3,TAPETES,https://drakelfo.mx/pch-importer/images/766623434362-M.jpg,126,24
766623130349-M,13.46,Array,6810,11466,1.4,130349,0.54,,17.18,766623130349,MANHATTAN,"2.5""",COMPONENTES,USD,7061,"GABINETE HDD MANHATTAN 2.5 SATA USB V3.0 BACKUP 130349",10497,0.54,8.55,"ENCLOSURES PARA DISCO",https://drakelfo.mx/pch-importer/images/766623130349-M.jpg,478,2
766623713948-I,10,Array,6855,11519,11,713948,1.3,,41.58,766623713948,INTELLINET,6CONTACTOS,ENERGIA,USD,7062,"BARRA PDU INTELLINET 6 CONT 1.5U SWITCH 713948",10725,1.3,50,SUPRESORES,https://drakelfo.mx/pch-importer/images/766623713948-I.jpg,1109,1
766623163682-I,119,Array,6855,11519,44.5,163682,1.63,,90.48,766623163682,INTELLINET,PDU,ENERGIA,USD,7062,"BARRA PDU INTELLINET 8 CONT 1U MONITOREO INTELIGENTE 163682",10803,1.63,442,SUPRESORES,https://drakelfo.mx/pch-importer/images/766623163682-I.jpg,2414,2
766623700320-M,0.8,Array,6854,11840,2.5,700320,0.84,,3.16,766623700320,MANHATTAN,SINLED,"GABINETES Y ENFRIAMIENTO",USD,7061,"VENTILADOR GABINETE/FUENTE MANHATTAN 80MM NEGRO 700320",10804,0.84,0.8,VENTILADORES,https://drakelfo.mx/pch-importer/images/766623700320-M.jpg,88,25
766623162013-M,12,Array,6854,11840,12,700955,0.18,,3.16,766623162013,MANHATTAN,80MM,"GABINETES Y ENFRIAMIENTO",USD,7061,"VENTILADOR GABINETE/FUENTE MANHATTAN 80MM NEGRO 3 PIN 700955",10805,0.18,2,VENTILADORES,https://drakelfo.mx/pch-importer/images/766623162013-M.jpg,88,1
660077617008-S,25.5,Array,6855,11512,29,15-81-120-4000,12.7,,2510.76,660077617008,"SOLA BASIC",4KVA,ENERGIA,MXN,7064,"CORRECTOR DE VOLTAJE SOLA BASIC,15-81-120-4000,4000VA,ENTRADA120V",10811,12.7,21,REGULADORES,https://drakelfo.mx/pch-importer/images/660077617008-S.jpg,3349.35384,6
660077406442-S,23.7,Array,6855,11493,11,NBKS-600,7.2,,1263.79,660077406442,"SOLA BASIC",600VA,ENERGIA,MXN,7064,"NOBREAK SOLA BASIC NBKS-600 600VA/300W/8 CONT/REGULA/LEDS/*30MIN      ",10713,7.2,32,"NO BREAKS",https://drakelfo.mx/pch-importer/images/660077406442-S.jpg,1685.89586,26
